age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,ground_truth,transcription,language detected
27.0,12.0,"tbilisi, republic of georgia",armenian4,armenian,female,947,republic of georgia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
21.0,15.0,"yerevan, armenia",armenian5,armenian,female,997,armenia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
42.0,1.0,"accra, ghana",ashanti1,ashanti,female,1977,ghana,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these tins with her from the store. Six pounds of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these tins into three red bags and we will go meet her Wednesday at the train station.
",en
24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,male,25,azerbaijan,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring her things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
42.0,40.0,"baku, azerbaijan",azerbaijani2,azerbaijani,female,434,azerbaijan,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring the things with her from the store. Six spoons of fresh snow pears. Five tisk slabs of blue cheese. And maybe a snack for the brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop this thing into three red bags and we will go meet her. We will stay at the train station.
",en
31.0,16.0,"baku, azerbaijan",azerbaijani3,azerbaijani,male,1791,azerbaijan,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we'll go meet her Wednesday at the train station.
",en
40.0,30.0,"douala, cameroon",bafang1,bafang,male,26,cameroon,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. Six pounds of fresh snow peas. Five pounds of blue cheese. And maybe a snack from her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scope this thing into three red bags and we will go meet her Wednesday at the train station.
",en
38.0,6.0,"douala, cameroon",bafang2,bafang,male,992,cameroon,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please, call Stella. Ask her to bring this thing with her from the store. Six pounds of fresh nose spit, five-six slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy fork for the kid. She can scoop this thing into three red bags and we will go meet there Wednesday at the train station.
",en
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,female,28,china,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five sticks of soft blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
15.5,12.0,"bamako, mali",bambara1,bambara,female,29,mali,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
26.0,18.0,"bamako, mali",bambara2,bambara,female,30,mali,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stila. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can cut these things into three red bags and we will go meet her Wednesday at the train station.
",en
22.0,12.0,"bamako, mali",bambara3,bambara,male,413,mali,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, 6 spoons and fresh snow peas, 5 thick slabs and blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
26.0,14.0,"goudiri, senegal",bambara4,bambara,male,787,senegal,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please, call Stella, ask her to bring these things with her from the store, 6 spoons of fresh ethno peas, 5-6 slabs of blue cheese, and maybe a snake for her brother box. You also need a small plastic snake and a big toy frog for the kids. You can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
23.0,21.0,"segou, mali",bambara5,bambara,female,969,mali,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snake for her brother Bob. We also need a small plastic snake and a baby toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
31.0,15.0,"foumban, cameroon",bamun1,bamun,female,31,cameroon,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, 6 spoons of fresh snow peas, 5 ticks slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. We can scoop this thing into 3 red bags and we will go meet her Wednesday at the train station.
",en
34.0,6.0,"khartoum, sudan",bari1,bari,male,1029,sudan,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack of her brother's job. We also need a small plastic snake and a big toy frog for her for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
36.0,7.0,"khartoum, sudan",bari2,bari,male,1030,sudan,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and big and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her when is there at the train station.
",en
69.0,34.0,"vizcaya, spain",basque1,basque,female,32,spain,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Estella. Ask her to bring these things with her from to the store. Six spoons of fresh snow peas, five sticks, no, just a minute, five things. Slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
50.0,19.0,"guernica, spain",basque2,basque,male,33,spain,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop distance into three red bags and we will go meet her Wednesday at the train station.
",en
54.0,10.0,"erding, bavaria, germany",bavarian1,bavarian,female,687,germany,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
",en
52.0,10.0,"berchtesgaden, germany",bavarian2,bavarian,female,1045,germany,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
43.0,12.0,"minsk, belarus",belarusan2,belarusan,female,650,belarus,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5-6 slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.
",en
18.0,6.0,"gomel, belarus",belarusan3,belarusan,male,2166,belarus,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella ask her to bring these things with her from the store six spoons of fresh no peas five thick slabs of blue cheese and Maybe a snack for her brother Bob. We also need a small plastic snake and the big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station
",en
23.0,16.0,"dhaka, bangladesh",bengali1,bengali,male,34,bangladesh,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella, ask her to bring these things with her from the store, 6 spoons of fresh snow peach, 5 thick splat of blue cheese and maybe a snake for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can spoke these things into their red bags and we will go meet her Wednesday at the rain station.
",en
25.0,2.0,"lusaka, zambia",bengali2,bengali,female,35,zambia,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.
",en
19.0,5.0,"dhaka, bangladesh",bengali3,bengali,female,36,bangladesh,False,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
","Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags. And we will go meet her Wednesday at the train station.
",en
